"","ctname","Latitude","Population","date1","date2","date3","date4","date5","date6","date7","date8","date9","date10","date11","date12","date13","date14","date15","date16","date17","date18","date19","date20","date21","date22","date23","date24","date25","date26","date27","date28","date29"
"2843","Nevada-Washoe",40.703311,465735,0,0,0,0,0,1,1,2,2,2,2,2,3,4,9,9,12,12,14,22,25,25,25,25,57,67,75,93,107
"2872","New Hampshire-Grafton",43.926488,89786,0,1,2,2,2,2,2,3,3,3,3,3,3,3,3,5,7,7,9,12,13,15,20,21,22,23,26,28,29
"2901","New Hampshire-Rockingham",42.98936,309176,0,0,0,0,0,0,0,1,1,2,2,3,3,4,9,10,14,17,18,20,25,28,38,42,56,67,75,86,100
"2930","New Jersey-Bergen",40.95909,936692,0,0,0,0,2,2,4,4,7,7,7,13,17,28,29,61,84,114,195,249,363,457,609,701,819,1206,1505,1838,2169
"2959","New Jersey-Burlington",39.875786,445384,0,0,0,0,0,0,0,0,2,2,2,2,3,3,4,5,5,10,14,17,21,26,40,42,48,64,88,115,142
"2988","New Jersey-Hudson",40.731384,676061,0,0,0,0,0,0,0,1,1,1,1,1,3,5,11,19,24,34,55,66,97,126,190,234,260,441,594,771,974
"3017","New Jersey-Monmouth",40.287056,621354,0,0,0,0,0,0,0,0,2,2,2,5,7,8,12,14,22,32,43,53,92,158,238,288,313,501,634,781,870
"3046","New Jersey-Passaic",41.033763,503310,0,0,0,0,0,0,0,0,1,1,1,1,2,2,5,8,10,18,38,49,67,95,141,216,255,399,484,608,831
"3075","New Jersey-Union",40.659871,558067,0,0,0,0,0,0,0,0,1,1,1,1,1,1,4,8,15,26,29,43,81,124,189,246,262,432,519,742,896
"3104","New Mexico-Bernalillo",35.054002,678701,0,0,0,0,0,0,0,0,0,0,1,2,6,6,6,14,14,16,20,23,32,34,38,43,48,55,82,93,101
"3133","New Mexico-Santa Fe",35.513722,150056,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,4,5,7,7,8,10,12,14,17,22,29,29,34
"3162","New Mexico-Socorro",33.991614,16735,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"3191","New York-Nassau",40.729687,1358343,0,0,0,0,1,1,4,5,19,19,28,41,51,79,98,109,131,183,372,754,1234,1900,2442,2869,3285,3914,4657,5537,6445
"3220","New York-New York",40.776557,1628701,0,1,1,1,4,5,12,13,20,36,43,95,154,183,329,463,814,2009,3954,5151,8115,9654,12339,14776,20011,23112,26697,30765,33768
"3249","New York-Rockland",41.154785,325695,0,0,0,0,0,0,2,2,4,6,6,7,9,12,13,16,22,30,53,101,262,455,592,671,968,1197,1457,1896,2209
"3278","New York-Saratoga",43.106135,230163,0,0,0,0,0,0,2,2,2,2,2,3,3,3,3,5,9,14,18,24,24,41,53,60,64,73,93,96,108
"3307","New York-Suffolk",40.943554,1481093,0,0,0,0,0,0,0,1,1,1,6,20,28,41,47,63,84,116,178,371,662,1034,1458,1880,2260,2735,3385,4138,5023
"3336","New York-Ulster",41.947232,178599,0,0,0,0,0,0,0,1,1,1,1,4,5,5,5,7,9,9,10,12,26,26,35,47,65,78,98,135,186
"3365","New York-Westchester",41.15277,967612,0,0,1,10,18,19,57,83,98,108,121,148,158,178,196,220,380,538,798,1091,1385,1873,2894,3891,4691,5944,7187,7875,8519
"3394","North Carolina-Chatham",35.704994,73139,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,6,9,11,12,13
"3423","North Carolina-Forsyth",36.131667,379099,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,7,7,8,12,12,12,17,17,24,33,35
"3452","North Carolina-Johnston",35.513405,202675,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,3,3,3,4,8,9,9,9,10
"3481","North Carolina-Mecklenburg",35.246862,1093901,0,0,0,0,0,0,0,0,0,0,2,2,2,4,4,7,7,11,28,28,41,66,79,104,170,204,259,299,336
"3510","North Carolina-Onslow",34.76346,197683,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,4,4,4,4
"3539","North Carolina-Wake",35.789846,1092305,0,0,1,1,1,1,1,1,6,7,8,8,8,14,14,15,15,17,23,23,33,40,46,54,84,105,123,133,146
"3568","Ohio-Cuyahoga",41.760392,1243857,0,0,0,0,0,0,0,0,3,3,3,3,6,11,14,24,31,38,53,69,92,125,149,167,206,259,330,370,440
"3597","Ohio-Stark",40.814131,371574,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,3,3,3,5,6,8,10,10,13,13,16,22,25,29
"3626","Oklahoma-Tulsa",36.120121,648360,0,0,0,0,0,0,1,1,2,2,2,2,2,2,3,3,3,4,5,5,5,6,11,12,27,41,49,57,61
"3655","Oregon-Deschutes",43.915118,191996,0,0,0,0,0,0,0,0,0,0,1,1,1,3,4,6,6,6,6,8,9,10,10,10,10,15,18,20,23
"3684","Oregon-Douglas",43.285904,110283,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,4,4,4
"3713","Oregon-Jackson",42.411782,219564,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,6,8,19
"3742","Oregon-Klamath",42.683761,67653,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4
"3771","Oregon-Marion",44.900898,346868,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,3,4,8,13,17,19,22,30,32,43,57,83,94,109
"3800","Oregon-Multnomah",45.547693,811880,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,3,3,7,12,18,19,21,25,33,45,67,81,91
"3829","Oregon-Polk",44.904395,85234,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,6,10,11,13
"3858","Oregon-Umatilla",45.5912,77516,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4
"3887","Oregon-Washington",45.553542,597695,1,2,2,2,2,2,3,8,8,8,8,10,10,13,13,14,21,23,25,31,42,55,69,76,96,104,122,140,154
"3916","Pennsylvania-Bucks",40.336887,628195,0,0,0,0,0,0,0,0,0,2,2,2,3,3,4,5,8,9,12,16,24,32,43,65,110,128,144,216,249
"3945","Pennsylvania-Delaware",39.91667,564751,0,0,0,0,0,1,1,1,1,1,1,1,6,6,7,7,9,14,14,23,33,43,54,84,101,156,185,226,276
"3974","Pennsylvania-Monroe",41.056233,169507,0,0,0,0,0,0,0,0,1,1,1,2,3,3,6,7,7,7,15,19,25,31,43,45,51,67,98,106,135
"4003","Pennsylvania-Montgomery",40.209999,828604,0,0,0,0,0,0,0,4,8,8,13,13,18,20,24,30,32,42,47,59,71,87,129,144,219,313,374,411,488
"4032","Pennsylvania-Philadelphia",40.009376,1584138,0,0,0,0,0,0,0,0,1,1,1,1,3,4,6,8,10,17,33,42,69,91,128,177,342,475,637,803,890
"4061","Pennsylvania-Wayne",41.646589,51276,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,4,6,6,6,7
"4090","Rhode Island-Providence",41.870488,636084,1,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,52,91,91,156,156
"4119","South Carolina-Charleston",32.800458,405905,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,3,4,5,5,9,13,31,36,52,60,92,108,117
"4148","South Carolina-Kershaw",34.338356,65592,0,0,0,0,0,1,4,5,7,8,8,9,9,11,14,18,22,25,29,36,43,44,54,58,63,64,70,77,83
"4177","South Carolina-Lancaster",34.686818,95380,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,3,3,3,5,6,6,6,7,8,9,13
"4206","South Carolina-Spartanburg",34.933239,313888,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,4,9,9,16,21,25
"4235","South Dakota-Beadle",44.418265,18883,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,4,4,4,10,12,13,13,14,16,16,20
"4264","South Dakota-Charles Mix",43.206185,9338,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4293","South Dakota-Davison",43.680439,19790,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
"4322","South Dakota-Minnehaha",43.667472,192876,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,4,5,5,5,5,5,5,5,5,13,16,18,21,25
"4351","South Dakota-Pennington",44.002349,111729,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,4
"4380","Tennessee-Davidson",36.169129,692587,0,0,0,0,0,0,0,1,1,1,1,6,6,14,17,25,42,58,75,101,140,164,164,183,257,293,312,376,394
"4409","Tennessee-Shelby",35.183794,935764,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,4,4,4,40,66,93,99,170,198,223,275,362
"4438","Tennessee-Sullivan",36.510212,157668,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,4,6,6,8
"4467","Tennessee-Williamson",35.894972,231729,0,0,0,0,1,1,1,1,1,4,5,8,8,10,14,18,21,24,30,35,47,48,53,64,66,70,91,95,101
"4496","Texas-Collin",33.193885,1005146,0,0,0,0,0,0,0,0,3,3,3,3,5,5,6,6,6,6,7,12,13,21,45,53,66,88,119,128,134
"4525","Texas-Dallas",32.766987,2637772,0,0,0,0,0,0,0,0,0,2,2,3,7,8,11,11,11,15,54,74,74,74,155,169,247,303,367,439,488
"4554","Texas-Fort Bend",29.526602,787858,0,0,0,0,1,1,3,6,6,6,6,6,6,9,9,9,9,9,9,11,11,11,11,29,54,86,101,105,119
"4583","Texas-Gregg",32.486397,123707,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,4,4,4
"4612","Texas-Harris",29.857273,4698619,0,0,0,0,2,3,5,5,6,7,7,8,9,10,10,10,10,10,10,36,36,36,54,79,185,203,229,445,526
"4641","Texas-Montgomery",30.302364,590925,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3,3,3,3,3,4,4,4,19,19,31,41,47,63,65
"4670","Texas-Tarrant",32.77204,2084931,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,3,5,19,19,19,19,57,71,90,100,114,128,139
"4699","Utah-Davis",41.037045,351713,0,0,0,0,0,0,1,1,1,1,1,1,1,2,3,4,4,6,6,12,14,19,29,31,35,39,50,59,69
"4728","Utah-Weber",41.270355,256359,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,10,14,20,29,37
"4757","Vermont-Bennington",43.035325,35631,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,3,3,4,4,4,4,4,9,11,11,15,15,16
"4786","Virginia-Arlington",38.878337,237521,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,3,6,6,6,6,6,6,6,36,46,54,63,75,84
"4815","Virginia-Fairfax",38.833743,1150795,0,0,0,0,0,0,0,2,4,4,4,4,6,10,10,10,12,14,16,16,22,31,43,46,77,79,124,156,188
"4844","Virginia-Loudoun",39.08113,406850,0,0,0,0,0,0,0,0,1,1,1,1,3,5,5,5,5,5,5,9,14,15,15,18,20,28,43,54,61
"4873","Washington-Clark",45.771674,481857,0,0,0,0,0,0,1,1,1,1,1,1,1,3,3,4,4,4,4,6,9,10,13,16,16,48,76,82,90
"4902","Washington-Grant",47.213633,97331,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,3,7,8,8,8,11,18,23,27,27,33,42,44,50
"4931","Washington-Island",48.158436,84460,0,0,0,0,0,0,0,0,0,0,2,3,3,6,6,7,14,16,17,19,19,21,25,29,54,64,80,93,105
"4960","Washington-Jefferson",47.802641,31729,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,3,3,4,4,4,4,6,7,8,10,11,11,13,14
"4989","Washington-King",47.493554,2233163,9,14,21,31,51,58,71,83,116,190,234,270,328,387,420,488,562,562,693,793,934,1040,1170,1277,1359,1577,1828,2077,2161
"5018","Washington-Kitsap",47.639687,269805,0,0,0,0,0,0,0,0,1,2,2,2,3,3,3,7,7,9,12,12,15,18,18,20,27,33,42,49,56
"5047","Washington-Kittitas",47.124444,47364,0,0,0,0,0,0,0,1,1,1,1,3,3,3,3,3,3,4,4,4,4,4,5,6,6,8,8,8,8
"5076","Washington-Pierce",47.040716,891299,0,0,0,0,0,0,1,4,4,14,17,17,19,26,29,38,45,56,75,83,95,107,126,138,155,186,231,282,317
"5105","Washington-Skagit",48.493066,128206,0,0,0,0,0,0,0,0,0,1,1,2,3,4,4,7,9,14,18,25,28,33,45,48,63,78,91,97,101
"5134","Washington-Whatcom",48.842653,225685,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,6,7,7,10,13,14,48,64,66,86,92,102,116
"5163","Wisconsin-Dane",43.067468,542364,0,0,0,0,0,0,0,0,2,2,2,2,5,6,6,10,19,23,27,32,49,61,61,72,88,134,158,172,183
"5192","Wisconsin-Pierce",44.725337,42555,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,4,4,4
"5221","California-Imperial",33.040816,181827,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,4,4,6,6,6,9,9,17,21,21,25
"5250","California-Marin",38.051817,259666,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,9,15,15,25,38,38,38,47,53,60,65,68,69,93
"5279","California-San Luis Obispo",35.385227,284010,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,6,7,13,16,21,27,33,42,46,54,59,67,71
"5308","Colorado-Summit",39.621023,31007,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,3,3,5,7,7,7,8,9,9,9,13,13,13
"5337","Florida-Escambia",30.611664,315534,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,4,9,10,17,20,28,28,37
"5366","Florida-Lake",28.764113,356495,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,3,4,4,6,9,14,22,26,32,38,44
"5395","Florida-Lee",26.552134,754610,0,0,0,0,0,0,2,2,2,2,3,4,4,4,5,5,7,11,11,14,17,26,30,32,52,66,95,119,152
"5424","Florida-Manatee",27.481386,394855,0,0,0,0,0,0,0,1,2,2,2,2,4,4,4,6,7,8,9,11,13,13,15,16,26,27,29,32,38
"5453","Florida-Sumter",28.714294,128754,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,3,4,4,8,10,18,24,29,40,45
"5482","Georgia-Coweta",33.352897,145864,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,6,8,9,9,10,10,14,19,20,23
"5511","Georgia-Fayette",33.412717,113459,0,0,0,0,0,0,0,0,1,1,1,5,5,5,5,5,5,8,9,9,9,9,11,12,13,14,22,26,27
"5540","Georgia-Polk",33.995961,42470,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,4,4,8,9,10,10,10,10
"5569","Kentucky-Harrison",38.443489,18778,0,0,0,0,0,0,0,0,2,3,5,6,6,6,6,6,6,7,7,7,7,7,10,10,10,10,10,10,11
"5598","Louisiana-Ascension",30.202946,124672,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,3,12,17,26,36,65,91,91,107,139
"5627","Massachusetts-Suffolk",42.33196,807252,1,1,1,1,1,3,3,8,10,20,21,22,26,27,31,36,42,51,72,89,108,126,154,234,342,448,631,843,940
"5656","New Jersey-Camden",39.802352,507078,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,3,8,10,11,15,22,33,51,61,73,95,123,163
"5685","North Carolina-Cabarrus",35.387845,211342,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,4,4,8,18,22,31,32,32
"5714","North Carolina-Durham",36.036589,316739,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,12,33,33,37,40,40,63,84,93,113,113,113
"5743","Virginia-Henrico",37.437521,329261,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,3,3,7,8,11,14,20,21,28,31,40
"5772","Washington-Snohomish",48.054913,814901,2,4,6,8,18,19,27,31,37,54,68,108,133,154,176,200,254,310,348,385,447,480,519,614,634,778,913,913,1068
